Date,ULSP_Price,ULSD_Price,ULSP_Duty,ULSD_Duty
2022-10-31,1.6587,1.8977,0.5295000000000001,0.5295000000000001
2022-11-07,1.6562,1.8979,0.5295000000000001,0.5295000000000001
2022-11-14,1.644,1.8885,0.5295000000000001,0.5295000000000001
2022-11-21,1.6328,1.8757,0.5295000000000001,0.5295000000000001
2022-11-28,1.6113,1.8557,0.5295000000000001,0.5295000000000001
2022-12-05,1.592,1.8356,0.5295000000000001,0.5295000000000001
2022-12-12,1.5597,1.7991,0.5295000000000001,0.5295000000000001
2022-12-19,1.5407,1.7762,0.5295000000000001,0.5295000000000001
2022-12-26,1.5194,1.7552,0.5295000000000001,0.5295000000000001
2023-01-02,1.509,1.7416,0.5295000000000001,0.5295000000000001
2023-01-09,1.4997,1.7316,0.5295000000000001,0.5295000000000001
2023-01-16,1.4879,1.7164,0.5295000000000001,0.5295000000000001
2023-01-23,1.4821,1.7086,0.5295000000000001,0.5295000000000001
2023-01-30,1.4818,1.7056,0.5295000000000001,0.5295000000000001
2023-02-06,1.4834,1.7036000000000002,0.5295000000000001,0.5295000000000001
2023-02-13,1.4798,1.6966,0.5295000000000001,0.5295000000000001
2023-02-20,1.4786,1.693,0.5295000000000001,0.5295000000000001
2023-02-27,1.4755,1.6856,0.5295000000000001,0.5295000000000001
2023-03-06,1.4712,1.6733000000000002,0.5295000000000001,0.5295000000000001
2023-03-13,1.4697,1.6704,0.5295000000000001,0.5295000000000001
2023-03-20,1.4662,1.6626,0.5295000000000001,0.5295000000000001
2023-03-27,1.4621000000000002,1.6518000000000002,0.5295000000000001,0.5295000000000001
2023-04-03,1.4572,1.6371,0.5295000000000001,0.5295000000000001
2023-04-10,1.4582,1.6271,0.5295000000000001,0.5295000000000001
2023-04-17,1.4593,1.6211000000000002,0.5295000000000001,0.5295000000000001
2023-04-24,1.4584,1.6134,0.5295000000000001,0.5295000000000001
2023-05-01,1.4571,1.6035,0.5295000000000001,0.5295000000000001
2023-05-08,1.453,1.5812,0.5295000000000001,0.5295000000000001
2023-05-15,1.4465,1.5553,0.5295000000000001,0.5295000000000001
2023-05-22,1.4364,1.5159,0.5295000000000001,0.5295000000000001
2023-05-29,1.4294,1.4787,0.5295000000000001,0.5295000000000001
2023-06-05,1.429,1.4643000000000002,0.5295000000000001,0.5295000000000001
2023-06-12,1.4271,1.4548,0.5295000000000001,0.5295000000000001
2023-06-19,1.4295,1.452,0.5295000000000001,0.5295000000000001
2023-06-26,1.4343,1.4565,0.5295000000000001,0.5295000000000001
2023-07-03,1.4340000000000002,1.4552,0.5295000000000001,0.5295000000000001
2023-07-10,1.4287,1.4472999999999998,0.5295000000000001,0.5295000000000001
2023-07-17,1.4277000000000002,1.4464,0.5295000000000001,0.5295000000000001
2023-07-24,1.4296,1.4513,0.5295000000000001,0.5295000000000001
2023-07-31,1.4413,1.4594999999999998,0.5295000000000001,0.5295000000000001
2023-08-07,1.4618,1.4823,0.5295000000000001,0.5295000000000001
2023-08-14,1.4777,1.5037,0.5295000000000001,0.5295000000000001
2023-08-21,1.494,1.5214,0.5295000000000001,0.5295000000000001
2023-08-28,1.5073,1.5352,0.5295000000000001,0.5295000000000001
2023-09-04,1.5171,1.5465,0.5295000000000001,0.5295000000000001
2023-09-11,1.531,1.5615,0.5295000000000001,0.5295000000000001
2023-09-18,1.5406,1.5816,0.5295000000000001,0.5295000000000001
2023-09-25,1.5541,1.6061,0.5295000000000001,0.5295000000000001
2023-10-02,1.5602,1.6215000000000002,0.5295000000000001,0.5295000000000001
2023-10-09,1.5594,1.6249,0.5295000000000001,0.5295000000000001
2023-10-16,1.5509,1.6231,0.5295000000000001,0.5295000000000001
2023-10-23,1.5463,1.6219,0.5295000000000001,0.5295000000000001
2023-10-30,1.5397,1.6176,0.5295000000000001,0.5295000000000001
2023-11-06,1.5319999999999998,1.6086,0.5295000000000001,0.5295000000000001
2023-11-13,1.5238999999999998,1.6039,0.5295000000000001,0.5295000000000001
2023-11-20,1.505,1.5844,0.5295000000000001,0.5295000000000001
2023-11-27,1.4799,1.5618,0.5295000000000001,0.5295000000000001
2023-12-04,1.4571,1.541,0.5295000000000001,0.5295000000000001
2023-12-11,1.4380000000000002,1.5201,0.5295000000000001,0.5295000000000001
2023-12-18,1.4150999999999998,1.5038,0.5295000000000001,0.5295000000000001
2023-12-25,1.4033000000000002,1.4924000000000002,0.5295000000000001,0.5295000000000001
2024-01-01,1.4078,1.4866,0.5295000000000001,0.5295000000000001
2024-01-08,1.3972,1.4821,0.5295000000000001,0.5295000000000001
2024-01-15,1.3949,1.4793,0.5295000000000001,0.5295000000000001
2024-01-22,1.3939,1.4796,0.5295000000000001,0.5295000000000001
