Date,Price,Open,High,Low,Change %
2020-12-30,1.3622,1.3503,1.3627,1.3493,0.009000000000000001
2020-12-29,1.35,1.345,1.3524,1.3447,0.0038
2020-12-28,1.3449,1.3546,1.3577,1.3429,-0.0073
2020-12-25,1.3548,1.3558,1.3591,1.355,-0.0005
2020-12-24,1.3555,1.3495,1.3621,1.3489,0.004699999999999999
2020-12-23,1.3492,1.3363,1.3573,1.3352,0.009899999999999999
2020-12-22,1.336,1.3465,1.347,1.3304,-0.0077
2020-12-21,1.3463,1.3475,1.3498,1.3188,-0.0042
2020-12-18,1.352,1.3587,1.3592,1.3472,-0.0046
2020-12-17,1.3582,1.351,1.3626,1.3495,0.005600000000000001
2020-12-16,1.3507,1.346,1.3554,1.3434,0.0034000000000000002
2020-12-15,1.3461,1.3323,1.347,1.328,0.0104
2020-12-14,1.3322,1.3281,1.3447,1.3274,0.0075
2020-12-11,1.3223,1.3296,1.3326,1.3135,-0.0053
2020-12-10,1.3293,1.3403,1.3414,1.3245,-0.0077
2020-12-09,1.3396,1.3355,1.3479,1.335,0.0032
2020-12-08,1.3353,1.3379,1.3393,1.3289,-0.0017000000000000001
2020-12-07,1.3376,1.3449,1.3449,1.3224,-0.0045000000000000005
2020-12-04,1.3437,1.3447,1.3541,1.3411,-0.0011
2020-12-03,1.3452,1.3361,1.3501,1.3353,0.0067
2020-12-02,1.3363,1.3423,1.3442,1.3287,-0.0039000000000000003
2020-12-01,1.3415,1.3325,1.3442,1.3314,0.0070999999999999995
2020-11-30,1.3321,1.3314,1.3386,1.3304,0.0005
2020-11-27,1.3314,1.3357,1.3383,1.3288,-0.0031
2020-11-26,1.3355,1.3376,1.34,1.3322,-0.002
2020-11-25,1.3382,1.3362,1.3394,1.3304,0.0019
2020-11-24,1.3356,1.3325,1.3382,1.3293,0.0025
2020-11-23,1.3323,1.3274,1.3399,1.3264,0.0031
2020-11-20,1.3282,1.3262,1.3298,1.3245,0.0016
2020-11-19,1.3261,1.3275,1.3281,1.3196,-0.0006
2020-11-18,1.3269,1.3244,1.3313,1.3242,0.0021
2020-11-17,1.3241,1.3195,1.3274,1.3187,0.0038
2020-11-16,1.3191,1.3179,1.3244,1.3163,0.0004
2020-11-13,1.3186,1.3118,1.3203,1.3108,0.0055000000000000005
2020-11-12,1.3114,1.3222,1.323,1.3106,-0.008100000000000001
2020-11-11,1.3221,1.327,1.331,1.3189,-0.0038
2020-11-10,1.3271,1.3165,1.3279,1.3156,0.008199999999999999
2020-11-09,1.3163,1.3163,1.3209,1.3118,0.0005
